Date,Location,Time,Temperature (°C),Humidity (%),Solar Irradiance (W/m²),Cloud Cover (%),Energy Generated (kWh)
2023-01-01,Jaipur,00:00:00,38,92,317,53,240
2023-01-01,Bangalore,01:00:00,40,78,633,12,121
2023-01-01,Goa,02:00:00,22,65,1117,60,411
2023-01-01,Ahmedabad,03:00:00,30,83,438,19,477
2023-01-01,Jaipur,04:00:00,26,76,271,82,292
2023-01-01,Pune,05:00:00,36,61,1021,26,191
2023-01-01,Chennai,06:00:00,44,82,1104,1,196
2023-01-01,Jaipur,07:00:00,28,61,598,9,240
2023-01-01,Goa,08:00:00,40,91,1015,59,356
2023-01-01,Ahmedabad,09:00:00,28,66,603,88,137
2023-01-01,Bangalore,10:00:00,29,67,874,18,346
2023-01-01,Goa,11:00:00,32,59,450,14,355
2023-01-01,Goa,12:00:00,34,87,1068,46,397
2023-01-01,Chennai,13:00:00,41,61,394,23,184
2023-01-01,Kolkata,14:00:00,24,95,771,15,136
2023-01-01,Ahmedabad,15:00:00,22,80,809,80,284
2023-01-01,Delhi,16:00:00,27,40,1129,59,197
2023-01-01,Goa,17:00:00,39,88,1067,79,417
2023-01-01,Kolkata,18:00:00,29,49,1066,81,486
2023-01-01,Delhi,19:00:00,32,66,784,48,129
2023-01-01,Ahmedabad,20:00:00,22,78,421,3,290
2023-01-01,Mumbai,21:00:00,41,48,830,65,437
2023-01-01,Pune,22:00:00,27,84,381,48,378
2023-01-01,Kolkata,23:00:00,28,69,1095,30,300
2023-01-02,Hyderabad,00:00:00,41,36,929,65,421
2023-01-02,Mumbai,01:00:00,40,34,455,53,288
2023-01-02,Pune,02:00:00,31,71,1107,1,357
2023-01-02,Chennai,03:00:00,30,77,287,60,254
2023-01-02,Jaipur,04:00:00,21,36,1072,14,418
2023-01-02,Bangalore,05:00:00,37,40,986,59,327
2023-01-02,Hyderabad,06:00:00,28,78,691,42,104
2023-01-02,Chennai,07:00:00,21,59,535,92,228
2023-01-02,Ahmedabad,08:00:00,21,70,737,97,173
2023-01-02,Chennai,09:00:00,22,32,606,39,464
2023-01-02,Jaipur,10:00:00,35,69,832,95,123
2023-01-02,Ahmedabad,11:00:00,38,80,488,84,414
2023-01-02,Hyderabad,12:00:00,23,61,561,29,378
2023-01-02,Jaipur,13:00:00,42,77,640,62,305
2023-01-02,Delhi,14:00:00,44,49,229,23,245
2023-01-02,Bangalore,15:00:00,37,64,1118,43,188
2023-01-02,Hyderabad,16:00:00,39,53,913,13,121
2023-01-02,Delhi,17:00:00,44,69,1093,27,399
2023-01-02,Pune,18:00:00,37,81,747,13,143
2023-01-02,Hyderabad,19:00:00,29,68,836,55,136
2023-01-02,Pune,20:00:00,30,97,422,33,106
2023-01-02,Ahmedabad,21:00:00,36,90,946,77,379
2023-01-02,Delhi,22:00:00,43,94,323,88,268
2023-01-02,Bangalore,23:00:00,44,91,1181,11,169
2023-01-03,Jaipur,00:00:00,42,31,882,55,312
2023-01-03,Goa,01:00:00,43,35,1197,60,170
2023-01-03,Chennai,02:00:00,39,72,1161,60,306
2023-01-03,Mumbai,03:00:00,35,69,892,39,171
2023-01-03,Bangalore,04:00:00,39,68,414,19,415
2023-01-03,Delhi,05:00:00,32,57,317,41,279
2023-01-03,Goa,06:00:00,21,92,426,6,307
2023-01-03,Bangalore,07:00:00,43,93,1090,78,276
2023-01-03,Delhi,08:00:00,21,41,643,72,294
2023-01-03,Kolkata,09:00:00,44,70,748,67,400
2023-01-03,Kolkata,10:00:00,33,58,1028,30,492
2023-01-03,Pune,11:00:00,23,52,807,86,471
2023-01-03,Bangalore,12:00:00,36,80,831,69,338
2023-01-03,Kolkata,13:00:00,32,74,636,91,253
2023-01-03,Delhi,14:00:00,23,51,211,75,253
2023-01-03,Pune,15:00:00,22,39,321,46,129
2023-01-03,Delhi,16:00:00,31,36,746,50,126
2023-01-03,Pune,17:00:00,41,44,688,57,339
2023-01-03,Bangalore,18:00:00,42,75,450,21,342
2023-01-03,Goa,19:00:00,27,90,778,23,231
2023-01-03,Jaipur,20:00:00,21,90,681,33,278
2023-01-03,Hyderabad,21:00:00,25,80,749,62,438
2023-01-03,Goa,22:00:00,41,67,479,59,197
2023-01-03,Ahmedabad,23:00:00,29,41,941,18,425
